day	month	year	symbol	nav
07	6	2014	SPK00	0.89926
08	6	2014	SPK00	0.89926
09	6	2014	SPK00	0.9005
10	6	2014	SPK00	0.90008
11	6	2014	SPK00	0.90034
12	6	2014	SPK00	0.90061
13	6	2014	SPK00	0.90074
14	6	2014	SPK00	0.90061
15	6	2014	SPK00	0.90061
16	6	2014	SPK00	0.90069
17	6	2014	SPK00	0.90052
18	6	2014	SPK00	0.90045
19	6	2014	SPK00	0.90137
20	6	2014	SPK00	0.9015
21	6	2014	SPK00	0.90137
22	6	2014	SPK00	0.90137
23	6	2014	SPK00	0.90137
24	6	2014	SPK00	0.90137
25	6	2014	SPK00	0.90176
26	6	2014	SPK00	0.9019
27	6	2014	SPK00	0.9018
28	6	2014	SPK00	0.9019
29	6	2014	SPK00	0.9019
30	6	2014	SPK00	0.90198
01	7	2014	SPK00	0.90197
02	7	2014	SPK00	0.90179
03	7	2014	SPK00	0.90163
04	7	2014	SPK00	0.90202
05	7	2014	SPK00	0.90163
06	7	2014	SPK00	0.90163
07	7	2014	SPK00	0.9021
08	7	2014	SPK00	0.90235
09	7	2014	SPK00	0.90241
10	7	2014	SPK00	0.90257
11	7	2014	SPK00	0.90256
12	7	2014	SPK00	0.90257
13	7	2014	SPK00	0.90257
14	7	2014	SPK00	0.90272
15	7	2014	SPK00	0.90288
16	7	2014	SPK00	0.90313
17	7	2014	SPK00	0.90316
18	7	2014	SPK00	0.90324
19	7	2014	SPK00	0.90316
20	7	2014	SPK00	0.90316
